student	question	course_page_number	unit_page_number	module_page_number	page_question_number	question_type	answered	correct	persisted
5f4d2fcf00000964acae4832	5f2e4e99e3a4d9432b13e45b	51	49	3	3	AG_Matching	1	0	1
5f4d2fcf00000964acae4832	5f2e4e99e3a4d9432b13e46f	51	49	3	4	AG_Matching	1	0	1
5f4d2fcf00000964acae4832	5f2e4e96e3a4d9432b13dc25	38	36	4	4	AG_Matching	1	0	1
5f4d2fcf00000964acae4832	5f2e4e96e3a4d9432b13dc39	38	36	4	5	AG_Matching	1	0	1
5f4d2fcf00000964acae4832	5f2e4e96e3a4d9432b13dc5f	38	36	4	6	AG_FITB	1	0	1
5f4d2fcf00000964acae4832	5f2e4e38e3a4d9432b130b58	38	36	4	7	HA_MC	1	0	1
5f4d2fcf00000964acae4832	5f2e4e38e3a4d9432b130ba6	38	36	4	8	HA_MC	1	0	1
5f4d2fcf00000964acae4832	5f2e4e96e3a4d9432b13dc89	45	43	5	0	AG_FITB	1	0	1
5f4d2fcf00000964acae4832	5f2e4e2fe3a4d9432b12f926	45	43	5	11	HA_MC	1	0	1
5f4d2fcf00000964acae4832	5f2e4eb7e3a4d9432b14293b	77	75	5	0	AG_Matching	1	0	1
5f4d2fcf00000964acae4832	5f2e4eb7e3a4d9432b14294f	77	75	5	1	AG_Matching	1	0	1
5f4d2fcf00000964acae4832	5f2e4eb7e3a4d9432b142963	77	75	5	2	AG_Matching	1	0	1
5f4d2fcf00000964acae4832	5f2e4eb7e3a4d9432b14299d	77	75	5	4	AG_Matching	1	0	1
5f4d2fcf00000964acae4832	5f2e4eb7e3a4d9432b1429ad	77	75	5	5	AG_Matching	1	0	1
5f4d2fcf00000964acae4832	5f2e4eb7e3a4d9432b1429cf	77	75	5	6	AG_FITB	1	0	1
5f4d2fcf00000964acae4832	5f2e4eb7e3a4d9432b1429f1	77	75	5	7	AG_FITB	1	0	1
5f4d2fcf00000964acae4832	5f2e4eb8e3a4d9432b142a9f	77	75	5	14	AG_FITB	1	0	1
